,0,0.5,2,4
3996.36498,0.0043,0.00178,0.00093,0.00158
3994.43624,0.00422,0.00171,0.00094,0.00153
3992.50749,0.00423,0.00178,0.00102,0.00155
3990.57874,0.00427,0.0019,0.00105,0.00158
3988.64999,0.0043,0.00196,0.00105,0.00163
3986.72125,0.0043,0.00193,0.00104,0.00165
3984.7925,0.00426,0.00186,0.00101,0.0016
3982.86375,0.00424,0.0018,0.00098,0.00156
3980.935,0.00426,0.00179,0.00096,0.00158
3979.00626,0.00426,0.00179,0.00096,0.00161
3977.07751,0.00421,0.00176,0.00097,0.0016
3975.14876,0.00416,0.00174,0.00097,0.00158
3973.22001,0.00414,0.00172,0.00094,0.00157
3971.29127,0.00418,0.00173,0.00092,0.00157
3969.36252,0.00425,0.0018,0.00096,0.00158
3967.43377,0.0043,0.00186,0.00101,0.00157
3965.50502,0.00427,0.00181,0.00097,0.00152
3963.57628,0.00417,0.0017,0.00088,0.00143
3961.64753,0.00411,0.00166,0.00086,0.0014
3959.71878,0.00416,0.00174,0.00091,0.00144
3957.79003,0.00421,0.0018,0.00095,0.00148
3955.86128,0.0042,0.00178,0.00093,0.00148
3953.93254,0.00415,0.00171,0.00087,0.00143
3952.00379,0.00401,0.00155,0.00073,0.00132
3950.07504,0.00377,0.00135,0.00056,0.00117
3948.14629,0.00366,0.0013,0.00053,0.00115
3946.21755,0.0037,0.00136,0.0006,0.00121
3944.2888,0.00367,0.00132,0.00056,0.00117
3942.36005,0.00372,0.00133,0.00054,0.00117
3940.4313,0.00398,0.00152,0.00071,0.0013
3938.50256,0.00416,0.00167,0.00086,0.00142
3936.57381,0.00413,0.00164,0.00085,0.00145
3934.64506,0.00389,0.00141,0.00065,0.00133
3932.71631,0.00357,0.00111,0.00038,0.00113
3930.78757,0.00351,0.00106,0.00035,0.00106
3928.85882,0.00365,0.00126,0.00055,0.00115
3926.93007,0.00367,0.00129,0.00059,0.00117
3925.00132,0.00358,0.00115,0.00042,0.00111
3923.07258,0.00362,0.00112,0.00037,0.00114
3921.14383,0.00365,0.00113,0.00041,0.00115
3919.21508,0.0035,0.00101,0.00034,0.00104
3917.28633,0.00346,0.001,0.00035,0.00101
3915.35759,0.00375,0.0013,0.0006,0.00119
3913.42884,0.00408,0.00163,0.00088,0.00142
3911.50009,0.00424,0.00178,0.00101,0.00157
3909.57134,0.00417,0.0017,0.00096,0.00158
3907.6426,0.00368,0.00124,0.00056,0.00128
3905.71385,0.00277,0.00037,-2.30E-04,0.00063
3903.7851,0.002,-3.90E-04,-9.40E-04,0
3901.85635,0.00184,-5.40E-04,-0.00108,-1.70E-04
3899.92761,0.00226,-1.10E-04,-7.20E-04,0.0001
3897.99886,0.00298,0.00064,-9.00E-05,0.00063
3896.07011,0.00347,0.00112,0.00035,0.00101
3894.14136,0.00335,0.00095,0.00025,0.00093
3892.21261,0.00301,0.00053,-7.00E-05,0.00065
3890.28387,0.00313,0.00061,-2.00E-05,0.00071
3888.35512,0.00326,0.0008,0.00007,0.00081
3886.42637,0.00295,0.00056,-2.10E-04,0.00059
3884.49762,0.00272,0.00031,-4.20E-04,0.00041
3882.56888,0.00267,0.0002,-4.10E-04,0.00042
3880.64013,0.00271,0.00021,-3.50E-04,0.00047
3878.71138,0.0031,0.00062,-2.00E-05,0.00073
3876.78263,0.00328,0.00083,0.00015,0.00085
3874.85389,0.00287,0.00042,-1.80E-04,0.00056
3872.92514,0.00227,-1.80E-04,-6.80E-04,0.00013
3870.99639,0.00185,-6.10E-04,-0.00104,-2.20E-04
3869.06764,0.00193,-5.20E-04,-1.00E-03,-2.30E-04
3867.1389,0.00225,-2.00E-04,-7.80E-04,-1.00E-05
3865.21015,0.00223,-2.20E-04,-8.10E-04,0
3863.2814,0.00232,-1.20E-04,-7.30E-04,0.00009
3861.35265,0.00282,0.00041,-2.70E-04,0.00048
3859.42391,0.00306,0.00066,-2.00E-05,0.00072
3857.49516,0.00262,0.00022,-3.50E-04,0.00046
3855.56641,0.00147,-9.50E-04,-0.00131,-4.00E-04
3853.63766,0.00048,-0.00205,-0.00225,-0.0013
3851.70892,0.0013,-0.00131,-0.00167,-8.10E-04
3849.78017,0.00269,0.00012,-4.70E-04,0.00027
3847.85142,0.0034,0.00089,0.0002,0.00087
3845.92267,0.00333,0.00083,0.00018,0.00089
3843.99393,0.00271,0.00021,-3.50E-04,0.00046
3842.06518,0.00191,-5.60E-04,-0.00105,-1.50E-04
3840.13643,0.00118,-0.00125,-0.00169,-7.60E-04
3838.20768,0.00095,-0.00148,-0.00196,-0.00101
3836.27894,0.00146,-9.90E-04,-0.00157,-6.20E-04
3834.35019,0.00211,-3.70E-04,-9.60E-04,-1.00E-04
3832.42144,0.00257,0.00008,-5.10E-04,0.00026
3830.49269,0.00291,0.00043,-2.00E-04,0.00052
3828.56394,0.00304,0.00057,-1.20E-04,0.00064
3826.6352,0.00299,0.0005,-2.30E-04,0.00061
3824.70645,0.00269,0.00021,-4.80E-04,0.00042
3822.7777,0.00188,-5.50E-04,-0.00114,-1.70E-04
3820.84895,0.00122,-0.00123,-0.00169,-7.00E-04
3818.92021,0.00147,-0.00103,-0.00147,-5.60E-04
3816.99146,0.00194,-5.60E-04,-0.00108,-2.70E-04
3815.06271,0.00262,0.00018,-5.20E-04,0.00018
3813.13396,0.00344,0.00103,0.00021,0.00083
3811.20522,0.0037,0.00129,0.00051,0.00111
3809.27647,0.00323,0.00084,0.00017,0.00082
3807.34772,0.00256,0.00014,-4.30E-04,0.00029
3805.41897,0.0022,-2.40E-04,-7.60E-04,-1.00E-05
3803.49023,0.00177,-6.50E-04,-0.00113,-3.00E-04
3801.56148,0.00145,-9.70E-04,-0.00143,-5.60E-04
3799.63273,0.00192,-5.70E-04,-0.00108,-2.80E-04
3797.70398,0.00254,-4.00E-05,-5.90E-04,0.00011
3795.77524,0.0031,0.0005,-1.20E-04,0.0005
3793.84649,0.0037,0.00117,0.00041,0.001
3791.91774,0.00402,0.00158,0.00073,0.00133
3789.98899,0.00403,0.00162,0.00076,0.00137
3788.06025,0.00383,0.00143,0.00062,0.00124
3786.1315,0.00358,0.00117,0.0004,0.00105
3784.20275,0.00353,0.00107,0.00033,0.00103
3782.274,0.00354,0.00102,0.00032,0.00109
3780.34526,0.00336,0.00082,0.00017,0.00095
3778.41651,0.00342,0.00087,0.0002,0.0009
3776.48776,0.00382,0.00126,0.00052,0.00112
3774.55901,0.00394,0.00141,0.00065,0.0012
3772.63026,0.00356,0.00107,0.00037,0.00094
3770.70152,0.00305,0.00053,-1.00E-04,0.00054
3768.77277,0.00287,0.00035,-2.90E-04,0.00039
3766.84402,0.00299,0.0005,-1.90E-04,0.0005
3764.91527,0.00322,0.00072,0,0.0007
3762.98653,0.00334,0.0008,0.00007,0.00083
3761.05778,0.00299,0.00045,-2.20E-04,0.0006
3759.12903,0.00248,-6.00E-05,-6.20E-04,0.00018
3757.20028,0.00236,-1.60E-04,-6.90E-04,0.00006
3755.27154,0.00215,-3.20E-04,-8.80E-04,-4.00E-05
3753.34279,0.00126,-0.00121,-0.0017,-6.70E-04
3751.41404,0.00012,-0.00241,-0.00271,-0.00158
3749.48529,0.00003,-0.00252,-0.0028,-0.00168
3747.55655,0.00041,-0.00211,-0.00246,-0.00134
3745.6278,0.00042,-0.00206,-0.00245,-0.00138
3743.69905,0.00077,-0.00182,-0.00221,-0.00135
3741.7703,0.00143,-0.00129,-0.00169,-0.00103
3739.84156,0.00146,-0.00132,-0.00172,-0.00109
3737.91281,0.00062,-0.0022,-0.00252,-0.00182
3735.98406,-4.80E-04,-0.00336,-0.00351,-0.00276
3734.05531,-4.80E-04,-0.00343,-0.00354,-0.00287
3732.12657,0.00064,-0.00238,-0.00265,-0.00211
3730.19782,0.00159,-0.00147,-0.00189,-0.00145
3728.26907,0.00181,-0.00128,-0.00173,-0.00132
3726.34032,0.00158,-0.00151,-0.00194,-0.0015
3724.41158,0.00144,-0.00155,-0.00207,-0.00155
3722.48283,0.00161,-0.00124,-0.0019,-0.00133
3720.55408,0.00206,-6.90E-04,-0.0014,-8.50E-04
3718.62533,0.00265,-4.00E-05,-7.30E-04,-2.20E-04
3716.69659,0.00296,0.00033,-3.50E-04,0.00021
3714.76784,0.00256,-4.00E-05,-6.60E-04,0.00001
3712.83909,0.0015,-0.00113,-0.00164,-8.90E-04
3710.91034,0.00087,-0.00183,-0.00234,-0.00159
3708.98159,0.00149,-0.00123,-0.0019,-0.00125
3707.05285,0.00241,-3.50E-04,-0.00114,-6.00E-04
3705.1241,0.00279,0,-8.10E-04,-3.30E-04
3703.19535,0.00265,-1.50E-04,-9.10E-04,-4.30E-04
3701.2666,0.00259,-2.00E-04,-9.40E-04,-4.60E-04
3699.33786,0.00287,0.00009,-7.10E-04,-2.20E-04
3697.40911,0.00311,0.00034,-5.70E-04,-2.00E-05
3695.48036,0.00305,0.00029,-6.50E-04,-3.00E-05
3693.55161,0.00257,-2.30E-04,-0.00106,-3.60E-04
3691.62287,0.00167,-0.00116,-0.00179,-9.50E-04
3689.69412,0.00116,-0.00162,-0.00216,-0.00126
3687.76537,0.00185,-7.90E-04,-0.00147,-6.80E-04
3685.83662,0.00288,0.00035,-5.20E-04,0.00016
3683.90788,0.00343,0.00091,0,0.00062
3681.97913,0.00341,0.00086,0,0.00064
3680.05038,0.00289,0.00032,-4.20E-04,0.00027
3678.12163,0.00189,-6.70E-04,-0.00122,-4.50E-04
3676.19289,0.00092,-0.00171,-0.00206,-0.00118
3674.26414,0.00111,-0.00162,-0.00192,-0.00105
3672.33539,0.00165,-0.00109,-0.00143,-5.90E-04
3670.40664,0.00183,-8.60E-04,-0.00127,-4.10E-04
3668.4779,0.00257,-3.00E-05,-6.30E-04,0.00017
3666.54915,0.00367,0.00115,0.00033,0.00105
3664.6204,0.00429,0.00181,0.00086,0.00155
3662.69165,0.00442,0.00195,0.00094,0.00166
3660.76291,0.00426,0.00181,0.00083,0.00158
3658.83416,0.00382,0.00139,0.00049,0.00131
3656.90541,0.00334,0.00089,0.00005,0.00096
3654.97666,0.0032,0.00067,-1.20E-04,0.00084
3653.04792,0.00281,0.00019,-4.60E-04,0.00053
3651.11917,0.00154,-0.00116,-0.00158,-4.90E-04
3649.19042,0.00047,-0.00226,-0.0025,-0.0014
3647.26167,0.00136,-0.00133,-0.00169,-8.20E-04
3645.33292,0.0029,0.00026,-3.70E-04,0.00029
3643.40418,0.00377,0.00116,0.00037,0.00093
3641.47543,0.00401,0.00139,0.00057,0.00113
3639.54668,0.00405,0.00136,0.00052,0.00114
3637.61793,0.00401,0.00126,0.00037,0.00104
3635.68919,0.00377,0.00102,0.00014,0.00079
3633.76044,0.00333,0.0006,-2.20E-04,0.00043
3631.83169,0.0026,-1.70E-04,-9.10E-04,-1.50E-04
3629.90294,0.00162,-0.00124,-0.00189,-0.00103
3627.9742,0.00158,-0.00132,-0.00198,-0.00123
3626.04545,0.00261,-2.80E-04,-0.00102,-4.70E-04
3624.1167,0.00323,0.00036,-4.30E-04,0.00009
3622.18795,0.00303,0.00022,-5.60E-04,0.00009
3620.25921,0.00238,-3.30E-04,-0.00106,-2.00E-04
3618.33046,0.00214,-5.10E-04,-0.00119,-2.90E-04
3616.40171,0.00238,-2.60E-04,-9.00E-04,-1.20E-04
3614.47296,0.00253,-8.00E-05,-7.00E-04,0.00002
3612.54422,0.00263,0.00006,-6.00E-04,0.00014
3610.61547,0.00268,0.00013,-6.20E-04,0.00015
3608.68672,0.00261,0.00006,-7.60E-04,-2.00E-05
3606.75797,0.00284,0.00029,-5.90E-04,0.00004
3604.82923,0.00329,0.00074,-2.00E-04,0.00035
3602.90048,0.00338,0.00081,-1.30E-04,0.00042
3600.97173,0.00313,0.00058,-3.80E-04,0.00022
3599.04298,0.00298,0.00044,-5.70E-04,0.00006
3597.11424,0.00292,0.00035,-6.20E-04,-2.00E-05
3595.18549,0.0029,0.00032,-5.80E-04,-3.00E-05
3593.25674,0.00309,0.00054,-3.80E-04,0.00016
3591.32799,0.00318,0.00067,-2.70E-04,0.0003
3589.39924,0.00274,0.00025,-5.90E-04,0.00007
3587.4705,0.00235,-9.00E-05,-8.60E-04,-1.00E-04
3585.54175,0.00284,0.00047,-4.20E-04,0.00034
3583.613,0.00363,0.00124,0.00022,0.00092
3581.68425,0.00404,0.0016,0.00056,0.00123
3579.75551,0.00415,0.00173,0.00071,0.00137
3577.82676,0.00418,0.00181,0.00081,0.00145
3575.89801,0.00423,0.00188,0.00085,0.00148
3573.96926,0.00429,0.00196,0.00087,0.00151
3572.04052,0.00418,0.00187,0.00076,0.00145
3570.11177,0.00358,0.00128,0.00025,0.00106
3568.18302,0.00269,0.00039,-5.10E-04,0.00039
3566.25427,0.00251,0.00021,-6.60E-04,0.00021
3564.32553,0.00321,0.00092,-6.00E-05,0.00073
3562.39678,0.00385,0.00162,0.00051,0.00127
3560.46803,0.00417,0.002,0.00083,0.00154
3558.53928,0.00435,0.00222,0.00102,0.00169
3556.61054,0.00441,0.00231,0.00107,0.00174
3554.68179,0.00431,0.0022,0.00095,0.00166
3552.75304,0.00422,0.00203,0.00082,0.00154
3550.82429,0.00425,0.002,0.00079,0.00151
3548.89555,0.00413,0.00189,0.00069,0.00145
3546.9668,0.00384,0.00164,0.00049,0.0013
3545.03805,0.0038,0.00165,0.0005,0.0013
3543.1093,0.00415,0.002,0.00076,0.0015
3541.18056,0.00452,0.00237,0.00105,0.00173
3539.25181,0.00462,0.00251,0.00114,0.0018
3537.32306,0.00453,0.00244,0.00105,0.00174
3535.39431,0.00449,0.00244,0.00103,0.00174
3533.46557,0.00451,0.00248,0.00109,0.00175
3531.53682,0.00437,0.00235,0.00098,0.00165
3529.60807,0.00412,0.0021,0.00075,0.00149
3527.67932,0.00395,0.00192,0.0006,0.00138
3525.75057,0.0039,0.00185,0.00056,0.00134
3523.82183,0.00392,0.0019,0.00059,0.00135
3521.89308,0.00407,0.0021,0.00072,0.00145
3519.96433,0.00435,0.00237,0.00093,0.00163
3518.03558,0.00458,0.00258,0.00111,0.00179
3516.10684,0.00467,0.00267,0.00119,0.00186
3514.17809,0.00461,0.00263,0.00119,0.00181
3512.24934,0.00445,0.00249,0.00109,0.00169
3510.32059,0.00428,0.00236,0.00096,0.00159
3508.39185,0.00427,0.00237,0.0009,0.00158
3506.4631,0.00429,0.00236,0.00085,0.00155
3504.53435,0.00414,0.00218,0.0007,0.00141
3502.6056,0.00409,0.00211,0.00067,0.00137
3500.67686,0.00429,0.00234,0.00087,0.00153
3498.74811,0.00447,0.00253,0.00103,0.00167
3496.81936,0.00452,0.00254,0.00103,0.00167
3494.89061,0.00451,0.00256,0.00102,0.00165
3492.96187,0.00451,0.00262,0.00105,0.00167
3491.03312,0.00452,0.00266,0.00107,0.0017
3489.10437,0.00452,0.00265,0.00102,0.00172
3487.17562,0.00451,0.00265,0.00097,0.0017
3485.24688,0.00448,0.00263,0.00094,0.00167
3483.31813,0.00439,0.00257,0.00091,0.00161
3481.38938,0.00434,0.00256,0.00092,0.00157
3479.46063,0.00443,0.00268,0.00103,0.0016
3477.53189,0.00452,0.00275,0.00109,0.00162
3475.60314,0.00452,0.00269,0.00106,0.00159
3473.67439,0.00451,0.00264,0.00102,0.00158
3471.74564,0.00451,0.00266,0.00101,0.00161
3469.8169,0.00448,0.00269,0.00102,0.00166
3467.88815,0.00444,0.00273,0.00102,0.00172
3465.9594,0.00443,0.00275,0.00103,0.00175
3464.03065,0.00445,0.00273,0.00105,0.00174
3462.1019,0.0045,0.00273,0.00106,0.00175
3460.17316,0.00458,0.00279,0.00113,0.0018
3458.24441,0.00463,0.00287,0.0012,0.00179
3456.31566,0.00462,0.00292,0.00121,0.00173
3454.38691,0.00456,0.00294,0.00117,0.00168
3452.45817,0.00451,0.00294,0.00114,0.00166
3450.52942,0.00446,0.00287,0.0011,0.00163
3448.60067,0.00434,0.00269,0.00098,0.00154
3446.67192,0.00426,0.00256,0.00086,0.00149
3444.74318,0.00432,0.00261,0.00088,0.00155
3442.81443,0.00443,0.00269,0.00094,0.00161
3440.88568,0.0045,0.00274,0.00098,0.00162
3438.95693,0.00458,0.00277,0.00103,0.00163
3437.02819,0.00465,0.00281,0.00109,0.00167
3435.09944,0.00465,0.00286,0.00112,0.00169
3433.17069,0.00459,0.00287,0.00109,0.00166
3431.24194,0.00454,0.00286,0.00103,0.00161
3429.3132,0.00454,0.00287,0.00101,0.00162
3427.38445,0.00456,0.00292,0.00107,0.00169
3425.4557,0.00455,0.00295,0.00112,0.00179
3423.52695,0.00447,0.0029,0.0011,0.0018
3421.59821,0.00437,0.00281,0.00102,0.00173
3419.66946,0.00434,0.00278,0.00101,0.00167
3417.74071,0.00439,0.00285,0.00108,0.00169
3415.81196,0.00448,0.00294,0.00115,0.00172
3413.88322,0.00456,0.00299,0.00116,0.00174
3411.95447,0.00461,0.00302,0.00115,0.00173
3410.02572,0.00462,0.00304,0.00117,0.00173
3408.09697,0.0046,0.00304,0.0012,0.00173
3406.16822,0.00458,0.00302,0.00118,0.00173
3404.23948,0.00457,0.00302,0.00113,0.00172
3402.31073,0.00455,0.00304,0.00112,0.00172
3400.38198,0.00453,0.00306,0.00116,0.00176
3398.45323,0.00453,0.00306,0.00118,0.00176
3396.52449,0.0045,0.00303,0.00114,0.00171
3394.59574,0.00444,0.00298,0.00108,0.00165
3392.66699,0.00441,0.00293,0.00103,0.00164
3390.73824,0.00447,0.00293,0.00101,0.00165
3388.8095,0.00453,0.00297,0.00101,0.00164
3386.88075,0.00449,0.00296,0.001,0.00156
3384.952,0.00442,0.00297,0.00101,0.00152
3383.02325,0.00444,0.00305,0.00105,0.00156
3381.09451,0.0045,0.00312,0.00107,0.00163
3379.16576,0.00452,0.00309,0.00103,0.00167
3377.23701,0.00449,0.00301,0.00097,0.00164
3375.30826,0.00445,0.00293,0.00096,0.00158
3373.37952,0.00444,0.0029,0.00098,0.00155
3371.45077,0.00439,0.00288,0.001,0.00156
3369.52202,0.0043,0.00285,0.00098,0.00158
3367.59327,0.00427,0.00285,0.00096,0.00157
3365.66453,0.0043,0.00289,0.00096,0.00156
3363.73578,0.00434,0.00293,0.00098,0.00157
3361.80703,0.00438,0.00292,0.00102,0.00161
3359.87828,0.00442,0.00292,0.00107,0.00163
3357.94954,0.00445,0.00296,0.0011,0.00162
3356.02079,0.00445,0.00301,0.00111,0.0016
3354.09204,0.00442,0.00303,0.00109,0.00161
3352.16329,0.00439,0.00301,0.00103,0.0016
3350.23455,0.00439,0.00298,0.00102,0.0016
3348.3058,0.00442,0.00297,0.00106,0.00162
3346.37705,0.00444,0.00296,0.00108,0.00164
3344.4483,0.00443,0.00295,0.00106,0.00161
3342.51955,0.00439,0.00294,0.00104,0.00157
3340.59081,0.00433,0.00291,0.00102,0.00154
3338.66206,0.00429,0.0029,0.001,0.00151
